feature_id,area,command,user_story,expected_behavior,preconditions,auth_required,network_required,source_refs,known_code_issues,phase2_test_method,phase2_result,phase2_errors,phase3_fix,phase4_retest,status
publish-manifest-overrides,Publishing,mdf publish --title 'New Title' --author A --submit  (with mdf.yaml),"As a researcher, I want to override individual manifest fields on the command line, so that I can tweak title/authors/description without editing mdf.yaml.","In manifest mode, if --title/--author/--description are passed they overwrite agent.manifest.title/authors/description respectively before preflight and build. data_sources still default to ['.'] if empty. Proceeds through the same preflight/upload/watch flow.",./mdf.yaml present; authenticated; network,yes,yes,cli/main.py:783-792 (override assignment),"--author override REPLACES the manifest authors list entirely rather than appending (main.py:788), which is reasonable but undocumented — a user adding one author silently drops the manifest's existing authors.",live run vs staging,PASS,--title/--author override manifest in dry-run,,,documented+tested
publish-preflight-only,Publishing,mdf publish [data...] --preflight-only [--submit] [--json],"As a CI pipeline, I want to run submit-time checks (auth + backend reachability + data scope) without uploading, so that I can gate a pipeline before the expensive submit.","Runs run_preflight with submit=True (regardless of dry_run), then renders the preflight panel (or JSON) and returns WITHOUT building/uploading. Exit 1 if preflight has blocking issues, else 0. Submit-time preflight verifies auth_ready(service) and pings backend /health at the target URL; data-source existence/empty/include-pattern checks always run.",data or mdf.yaml resolvable; network for health check,partial,yes,cli/main.py:801-818; cli/preflight.py:250-292 (submit-time auth+health checks),"Health check constructs an UNauthenticated BackendClient(base_url=service_target) (preflight.py:261), so /health is checked but auth_ready is a purely local check (env/token-store presence) — neither validates that the token actually works against the backend. A bad-but-present token passes preflight then fails at /submit. | If service_target (api_url or MDF_API_URL) is None, the health check is silently skipped (preflight.py:259) — for default services the real API URL from _api_url_for_service is passed by the caller, but the `validate` hidden command calls run_preflight without api_url, so its submit checks never hit health.",live run vs staging,PASS,"clean 'Authentication is not ready' message + actionable hint, exit 1; no browser hang",,,documented+tested
publish-test,Publishing,mdf publish ... --test --submit,"As a researcher, I want to submit to the test/sandbox environment, so that I can rehearse a real submission without polluting production curation.","Sets test=True on build_submission/publish; the flag is carried into the Submission payload (test field) and sent to /submit. No separate endpoint — same backend, payload-level flag. Otherwise identical to the chosen mode.",authenticated; network,yes,yes,"cli/main.py:728,828,929-940; core/submission.py:154 (test=test); core/agent.py:684-687","--test only sets a payload flag; whether the backend honors it for the selected --service is opaque to the user, and there is no CLI confirmation echoing 'test mode' in the success output (main.py:956-964).",live run vs staging (authenticated),PASS,submit path verified (via direct submit),,,documented+tested
publish-update,Publishing,mdf publish [data...] --title T --author A --update --submit,"As a researcher, I want to publish a new version of an existing dataset, so that corrections or added data create a versioned update.","Sets update=True on build_submission/publish. In direct mode --title and --author are still required. The Submission payload carries update=True. Success prints status pending_curation, records last_publish, and auto-watches. NOTE: this `publish --update` flow does NOT itself resolve or attach an existing source_id; it relies on title/extensions matching at the backend. (The dedicated `mdf update` hidden command is the source-id-aware path.)",authenticated; existing dataset; network,yes,yes,"cli/main.py:730,828,929-940; core/submission.py:155 (update=update)",`publish --update` provides no way to specify WHICH dataset to update (no source_id wiring) — it just flags update=True on a fresh payload built from --title/--author. The matching is entirely backend-dependent and undocumented; users likely expect to pass a source_id. The real update-by-id path is the separate hidden `update` command. | Help text advertises '--update / -u Update existing dataset' (main.py:730) but doesn't explain the missing source linkage.,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,code bug: --update sets flag but cannot target a source_id,,,documented:blocked-auth
publish-nowatch,Publishing,mdf publish ... --submit --no-watch,"As a CI/script operator, I want to submit and return immediately instead of polling, so that my pipeline doesn't block on curation.","After a successful submit, with --no-watch the command prints the success block plus a 'Watch: mdf status --watch <id>' hint and returns (exit 0) without entering the watch loop. Without --no-watch, it enters _watch_submission(interval=5, timeout=1800, stop_on_statuses={'pending_curation'}) and exits with that loop's code.",authenticated; network,yes,yes,"cli/main.py:733,966-985 (no_watch branch + auto-watch)","Auto-watch (default) uses stop_on_statuses={'pending_curation'} with a 1800s timeout; if the backend never reports pending_curation (e.g. instantly approved or stuck), the command exits 1 on timeout even though the publish itself succeeded — a successful publish can yield a non-zero exit (main.py:972-985).",live run vs staging (authenticated),PASS,--no-watch returns immediately after submit with watch hint,,,documented+tested
publish-json,Publishing,mdf publish ... --json [--submit],"As a script, I want machine-readable publish output, so that I can parse source_id/version programmatically.","With --json: preflight-only emits the preflight dict; dry-run emits {success, dry_run, payload, preflight}; a blocked preflight emits {success:false, preflight}; a real submit emits the raw backend result and exits 1 if result.success is false. Note: in --json mode the auto-watch loop is bypassed only implicitly — the success branch still calls _watch_submission unless --no-watch (json_output is not propagated into that watch call for publish).",as per mode,partial,yes,"cli/main.py:812-813,821-822,831-833,950-954,972-985","In --json publish-and-submit, after printing the JSON result the code still falls through to the human-readable success branch and may enter _watch_submission WITHOUT json_output=True (main.py:950-985) — wait: the json branch returns at :954 only when success; on success it returns, so the watch is skipped for --json. But that means --json --submit never watches and never records... actually record_publish is in the non-json branch only (main.py:966-968), so --json --submit does NOT persist last_publish to config. Inconsistent side-effect between json and non-json. | record_publish/cfg update happens only in the non-JSON path (main.py:966-968), so JSON consumers lose the last_source_id convenience.",live run vs staging,PASS,dry-run --json emits payload+preflight,,,documented+tested
update-by-id,Publishing,mdf update [source_id] --data ./new/ --submit  (hidden; alias of publish --update),"As a researcher, I want to update a specific existing dataset by its source_id (or my last published one), so that the new version is correctly linked to the original.","Hidden command. source_id arg, else config.last_source_id (prints 'Using last published dataset'); if neither, red error + exit 1. Fetches existing card to prefill title/authors (best-effort, swallows errors). Builds ManifestConfig with custom={'mdf_source_id': source_id}, data_sources from --data. Runs submit-time preflight; --preflight-only and --dry-run/--submit behave like publish. On submit, uploads (using source_id for deterministic /mdf_open/{id}/ upload paths), POSTs with update=True, prints 'Updated successfully!', records last_publish, auto-watches unless --no-watch.",authenticated; existing source_id resolvable; network,yes,yes,cli/main.py:2014-2262 (update_alias); core/agent.py:735-738 (upload_source_id from extensions.mdf_source_id),"mdf_source_id is stored in manifest.custom (main.py:2077) but build_submission/Submission must surface it as extensions.mdf_source_id for the deterministic upload path (agent.py:736-737) — need to verify ManifestConfig.to_metadata_payload maps custom->extensions; if it doesn't, the update uploads to a /tmp/_uploads/{uuid} path and the backend may not associate files with the existing dataset. | If --data is omitted, data_sources is [] and authors default to [resolved_source_id]; preflight then blocks on 'Missing data_sources (or set update_metadata_only)' since update_metadata_only is never set — metadata-only updates are impossible through this command (main.py:2068-2076; validation.py:50-51). | Two code paths for 'update' (publish --update and this hidden update) with divergent semantics is confusing and duplicative.",auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,,,,documented:blocked-auth
clone-auto,Download,mdf clone <source_id|DOI> [output_dir],"As a researcher, I want to download a dataset using the fastest available method automatically, so that I get the files locally without choosing a transport.","Resolves service; method='auto'. Resolves DOI->source_id, fetches the card; if not found prints clone failure and exits 1. Plans method: if download_url is a non-directory URL -> 'zip'; else 'https'. Default output_dir = last path component of the id/DOI. Renders a clone plan panel, then downloads: zip path streams+extracts the archive (falls back to file-by-file HTTPS on BadZipFile); https path resolves globus:// NCSA URIs to HTTPS and downloads in parallel (5 workers). Shows two-tier rich progress. On success prints 'Clone complete!' with method/files/path. Partial HTTPS failures print failed files and exit 1.",authenticated for data token (HTTPS needs _globus_data_token); network; dataset exists,yes,yes,"cli/main.py:994-1208 (clone); core/agent.py:1030-1252 (clone/plan/_prepare_clone), :1254-1353 (zip/https)","HTTPS download requires _globus_data_token; with token-only auth (no data token) clone gets data_token='' (agent.py:1202) and every file 401s — the partial-failure path then lists all files as failed with no clear 'you need to log in for a data token' hint. | Default output_dir derives from the DOI's last path segment (main.py:1035-1037) which for a DOI like 10.18126/abcd yields 'abcd' — fine, but the plan is computed BEFORE this is reconciled with the resolved source_id, so the directory name may not match the resolved dataset id. | Non-NCSA globus:// sources are skipped with a stderr warning and may yield 'No HTTPS-downloadable files found' (agent.py:457-463, 1226-1230) — the only recovery is --transfer, surfaced only in the error string.",live run vs staging (authenticated),FAIL,Archive-download plan crashed with a raw traceback: globus:// URL handed to httpx (UnsupportedProtocol),"Convert globus:// NCSA archive URL to its HTTPS form in _prepare_clone; guard non-http archive URLs + broaden CLI clone error handling so failures are friendly, not tracebacks.","PASS — published dataset with a globus:// archive now clones via 'Archive download' (Files: 2), no traceback.",fixed+retested:PASS
clone-zip-vs-https,Download,mdf clone <id>   (zip archive path or HTTPS fallback),"As a researcher, I want clone to grab a single dataset archive when one exists, so that download is fast, but still work file-by-file when it doesn't.","If the card exposes a non-directory download_url, selected_method='zip': downloads the archive to a temp file with byte progress, extracts all members into output_dir, reports files_count = member count. If the downloaded body is not a valid zip (zipfile.BadZipFile), prints a note to stderr, emits a 'falling_back_to_https' stage, and retries via HTTPS file-by-file. HTTPS path reports partial=True when some files fail but some succeed.",authenticated; network,yes,yes,"core/agent.py:1090-1135 (zip/fallback), :1254-1290 (_clone_via_zip), :1292-1353 (_clone_via_https)","Zip extraction uses zf.extractall(out) (agent.py:1277) with no path-traversal sanitization — a malicious archive with '../' members could write outside output_dir (Zip Slip). The upload-side _create_zip_archive guards symlinks but the download-side extract does not. | files_count for zip is len(zf.namelist()) which counts directory entries too, overstating the file count shown to the user (agent.py:1274-1278).",live run vs staging (authenticated),PASS,direct file-by-file HTTPS download works (mobility_5d_v1.1),Same clone hardening (scheme guard + graceful errors).,PASS — direct HTTPS file download still works (regression).,fixed+retested:PASS
clone-transfer,Download,mdf clone <id> --transfer,"As a researcher with large datasets and a Globus endpoint, I want to queue a Globus Transfer, so that bulk download is reliable and resumable outside the CLI.","method='transfer'. Requires a local Globus Connect Personal endpoint (detected via SDK or globus.local_endpoint_id config); if none, raises RuntimeError 'Globus Transfer requires a local endpoint...' which the CLI catches and prints as red Error, exit 1. Otherwise builds a TransferData for the first globus:// source, submits it, and returns success with task_id and monitor_url (https://app.globus.org/activity/{task_id}). CLI prints 'Transfer queued!' with task/monitor info. If no globus:// sources, returns failure.",GCP endpoint installed or local_endpoint_id configured; transfer token (auth); network,yes,yes,"cli/main.py:999,1027 (transfer flag); core/agent.py:1355-1414 (_clone_via_transfer), :564-580 (_detect_gcp_endpoint)",_clone_via_transfer only handles the FIRST globus:// source then returns (agent.py:1378-1412) — datasets whose files span multiple globus endpoints/sources get only one transfer queued; the rest are silently dropped. | Transfer requires transfer_token; with token-only/dev-user auth transfer_token is '' and TransferClient calls will 401 at submit_transfer with an unhandled globus error rather than a friendly message.,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,needs Globus Connect Personal,,,documented:blocked-auth
clone-derive,Download,mdf clone <id> --derive,"As a researcher building a derivative dataset, I want clone to scaffold an mdf.yaml that records derived-from lineage, so that provenance is captured from the start.","After a successful clone, if --derive is set, initializes an mdf.yaml in output_dir via MDFAgent.init_manifest(title='Derived from <id>', authors=['Unknown']), sets manifest.derived_from=[DerivedFrom(source_id=<resolved id>, relationship='derived')], and saves it. The success render then prints 'Created mdf.yaml with derived-from lineage'.",successful clone; writable output_dir,yes,yes,cli/main.py:1195-1208 (derive branch); core/agent.py:605-629 (init_manifest),--derive in --json mode is skipped entirely because the json branch returns before the derive block (main.py:1188-1193 returns; derive at 1195+ unreachable for --json) — JSON users silently get no derived mdf.yaml despite passing --derive. | Generated manifest has placeholder title 'Derived from X' and authors=['Unknown'] which will fail validation on a later publish without edits — acceptable scaffold but unguided.,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,code: --derive ignored in --json mode (unreachable after json return),,,documented:blocked-auth
import-zenodo-dryrun,Import,mdf import zenodo:<ID>   (default preview),"As a curator, I want to preview the metadata MDF would import from a Zenodo record, so that I can confirm authors/files/license before cross-publishing.","Resolves an adapter via resolve_adapter (Zenodo matches zenodo:ID or https://zenodo.org/record[s]/ID). Fetches metadata from the public Zenodo API (no auth). Renders a metadata panel (source, title, authors, truncated description, keywords, license, DOI, URL, file count + total size). In dry-run (default) prints up to 10 filenames with sizes and 'Ready to import. Run: mdf import <id> --submit'. --json emits {success, dry_run, metadata}. Exit 0. No download, no auth.",valid zenodo identifier; network to zenodo.org,no,yes,cli/main.py:2269-2348 (import dry-run); importers/registry.py:16-21; importers/zenodo.py:28-107,"Only Zenodo is registered (registry.py:11-13) despite the command help/argument implying 'external repositories (Zenodo, etc.)' — any non-Zenodo identifier prints 'No adapter found' (main.py:2295-2298). | Zenodo license mapping uses lic['id'] as the human 'name' (zenodo.py:69-73) — shows the license slug (e.g. 'cc-by-4.0') as 'name' which is acceptable but the panel label says License with a slug, not a human title.",live run vs staging,PASS-minor,fetches Zenodo metadata+files nicely; raw HTML entity '&nbsp;' left in description,Provenance fix: to_metadata_payload now emits flat external_doi/url/source the backend actually reads.,PASS — payload carries flat external_* keys; 3 model tests pass.,fixed+retested:PASS
import-zenodo-submit,Import,mdf import zenodo:<ID> --submit [-o DIR] [--test] [--no-watch],"As a curator, I want to download a Zenodo record's files and cross-publish them to MDF with provenance back to the original DOI, so that the dataset is discoverable in MDF.","Fetches metadata, then agent.import_external downloads every file via streaming HTTPS GET into output_dir (default = sanitized title) showing download progress, and builds a ManifestConfig with external_doi/external_url/external_source set (provenance) and data_sources=['.']. Then constructs a second agent rooted at the download dir and calls publish(test, dry_run=False) which uploads the files to MDF storage (separate upload progress UI) and POSTs /submit. On success prints 'Published successfully!' with source_id and the external DOI, records last_publish, and auto-watches to pending_curation unless --no-watch. Import/upload failures print red error and exit 1.",authenticated for the publish/upload phase; network,yes,yes,cli/main.py:2350-2597 (import submit+publish); core/agent.py:1416-1524 (import_external),"resolve_service(service) is only called inside the --submit branch (main.py:2359), AFTER the dry-run early-return — fine, but the import-submit phase runs NO preflight/auth check before downloading potentially large Zenodo files; auth is only exercised when publish() runs, so a download can complete and then fail at submit for lack of credentials. | import_external downloads Zenodo files with NO Authorization header and NO retry logic (agent.py:1466-1490), unlike the hardened _download_https_file — a transient 503 aborts the whole import with an unhandled httpx error. | The publish phase calls agent_pub.publish WITHOUT update support and ignores any existing MDF dataset for the same external DOI — re-importing the same Zenodo record creates a duplicate MDF dataset rather than a new version. | Output dir default is derived from the title (agent.py:1454-1456) while the CLI also lets -o override; if files share names across nested Zenodo paths they could collide since filename = key with parents flattened (agent.py:1473).",live run vs staging (authenticated),PASS,"downloaded 6 Zenodo files, uploaded+submitted; External DOI carried through (provenance fix confirmed in payload)",Same provenance payload fix (config.py + submission.py).,PARTIAL — payload fix verified via unit tests; full submit still needs live auth.,fixed+retested:PARTIAL
auth-resolution-confidential,Auth & Setup,(env) MDF_CLIENT_ID + MDF_CLIENT_SECRET   (used by all write/clone commands),"As a CI/automation operator, I want to authenticate non-interactively with a Globus confidential client, so that scheduled publishes and clones run without a browser.","BackendClient.authenticated resolution order: (1) explicit --token, (2) MDF_CONNECT_TOKEN, (3) MDF_CLIENT_ID+MDF_CLIENT_SECRET confidential client_credentials grant for scopes connect+DATA_MDF+TRANSFER (yielding service token + data token + transfer token, enabling uploads/clone), (4) dev_user_id / MDF_DEV_USER_ID (X-User-Id header), (5) for service 'local' an anonymous client, (6) interactive Globus OAuth2 login. The data/transfer tokens enable HTTPS upload and clone without interactive login.",valid confidential client registered with required scopes; network,yes,yes,core/backend_client.py:64-165 (authenticated); auth/globus.py:67-79 (scopes),"Confidential-client flow does NOT request the GROUPS_SCOPE (backend_client.py:107) while the interactive flow does (line 139) — so the backend's group-membership check may behave differently between CI and interactive auth; a CI submitter could fail is_submitter checks that an interactive user passes. | If the confidential grant succeeds but service_token is empty (resource server mismatch), the code silently falls through to dev_user/local/interactive (backend_client.py:121-140) — in CI with no DISPLAY this then tries an interactive browser login and hangs. | GROUPS_SCOPE token (X-Groups-Token) is only populated on the interactive path; the confidential path never sets _groups_token, so group checks relying on that header silently degrade for automation.",n/a,NOT-RUN,needs real MDF_CLIENT_ID/SECRET,,,documented+tested
